entry_id,old_label,old_framework,new_label,new_framework,change_type,change_year,change_summary,clinical_rationale,severity_weight,keywords_for_matching,current_criteria_summary,source_citation,source_type,last_reviewed_date
DSM5-001,Asperger's Disorder,DSM-IV-TR,Autism Spectrum Disorder,DSM-5,merged,2013,"Asperger's Disorder was eliminated as a standalone diagnosis and merged into a single Autism Spectrum Disorder category with severity levels.","Research showed no reliable clinical distinction between Asperger's, PDD-NOS, and autistic disorder; a spectrum model improved diagnostic consistency.",0.9,"aspergers;asperger syndrome;asperger's","Autism Spectrum Disorder is diagnosed based on persistent deficits in social communication/interaction plus restricted, repetitive patterns of behavior, rated across three severity levels.","American Psychiatric Association, DSM-5 Fact Sheet: Autism Spectrum Disorder, 2013",APA_fact_sheet,2025-05-01
DSM5-002,Pervasive Developmental Disorder NOS,DSM-IV-TR,Autism Spectrum Disorder,DSM-5,merged,2013,"PDD-NOS was folded into Autism Spectrum Disorder as a single unified diagnosis.","Same rationale as Asperger's merge — spectrum model replaced separate subtypes.",0.9,"pdd-nos;pervasive developmental disorder","See Autism Spectrum Disorder criteria — spectrum-based severity rating replacing separate subtype labels.","American Psychiatric Association, DSM-5 Fact Sheet: Autism Spectrum Disorder, 2013",APA_fact_sheet,2025-05-01
DSM5-003,Childhood Disintegrative Disorder,DSM-IV-TR,Autism Spectrum Disorder,DSM-5,merged,2013,"Eliminated as a separate diagnosis, absorbed into Autism Spectrum Disorder.","Consolidation of autism-related subtypes under one spectrum model.",0.85,"childhood disintegrative disorder;heller syndrome","See Autism Spectrum Disorder criteria.","American Psychiatric Association, DSM-5 Fact Sheet: Autism Spectrum Disorder, 2013",APA_fact_sheet,2025-05-01
DSM5-004,Schizophrenia Paranoid Type,DSM-IV-TR,Schizophrenia,DSM-5,eliminated,2013,"All schizophrenia subtypes (paranoid, catatonic, disorganized, undifferentiated, residual) were removed; schizophrenia is now diagnosed as a single condition with symptom dimension ratings.","Subtypes showed poor reliability and limited treatment or prognostic value in longitudinal studies.",0.85,"paranoid schizophrenia;paranoid type schizophrenia","Schizophrenia is diagnosed via core symptom criteria (delusions, hallucinations, disorganized speech, etc.) rated on severity dimensions rather than subtype.","American Psychiatric Association, DSM-5 Fact Sheet: Schizophrenia Spectrum, 2013",APA_fact_sheet,2025-05-01
DSM5-005,Schizophrenia Catatonic Type,DSM-IV-TR,Schizophrenia with catatonia specifier,DSM-5,reclassified,2013,"Catatonic subtype removed; catatonia is now a specifier that can apply across multiple diagnoses, not a schizophrenia subtype.","Catatonia occurs across many conditions, not just schizophrenia — reclassifying it as a specifier improved diagnostic accuracy.",0.8,"catatonic schizophrenia;catatonic type","Catatonia specifier applied when relevant motor/behavioral symptoms are present.","American Psychiatric Association, DSM-5 Fact Sheet: Schizophrenia Spectrum, 2013",APA_fact_sheet,2025-05-01
DSM5-006,Major Depressive Disorder (with bereavement exclusion),DSM-IV-TR,Major Depressive Disorder,DSM-5,criteria_modified,2013,"The 'bereavement exclusion' was removed — grief no longer automatically rules out an MDD diagnosis if criteria are otherwise met.","Evidence showed grief-triggered depression can be clinically significant and undertreated if automatically excluded.",0.75,"bereavement exclusion;grief exclusion depression","MDD can be diagnosed even in the context of recent bereavement if full symptom criteria and duration are met, with clinical judgment distinguishing normal grief from disorder.","American Psychiatric Association, DSM-5 Fact Sheet: Depressive Disorders, 2013",APA_fact_sheet,2025-05-01
DSM5-007,Substance Abuse,DSM-IV-TR,Substance Use Disorder,DSM-5,merged,2013,"Substance Abuse and Substance Dependence were merged into a single Substance Use Disorder diagnosis with severity ratings (mild/moderate/severe).","The abuse/dependence split had weak empirical support; a single severity-graded disorder better reflected clinical presentation.",0.85,"substance abuse;substance dependence","Substance Use Disorder is diagnosed via 11 criteria with severity determined by symptom count (2-3=mild, 4-5=moderate, 6+=severe).","American Psychiatric Association, DSM-5 Fact Sheet: Substance-Related Disorders, 2013",APA_fact_sheet,2025-05-01
DSM5-008,Gender Identity Disorder,DSM-IV-TR,Gender Dysphoria,DSM-5,renamed,2013,"Renamed from Gender Identity Disorder to Gender Dysphoria, shifting focus from identity as pathology to the distress caused by incongruence.","Reduces stigma by framing distress, not identity itself, as the clinical concern.",0.7,"gender identity disorder","Gender Dysphoria focuses on clinically significant distress related to incongruence between experienced and assigned gender.","American Psychiatric Association, DSM-5 Fact Sheet: Gender Dysphoria, 2013",APA_fact_sheet,2025-05-01
DSM5-009,Mental Retardation,DSM-IV-TR,Intellectual Disability (Intellectual Developmental Disorder),DSM-5,renamed,2013,"Terminology updated; diagnostic focus shifted to include adaptive functioning alongside IQ scores.","Reduces stigma; better reflects real-world functional impact beyond IQ score alone.",0.6,"mental retardation","Intellectual Disability diagnosed via deficits in intellectual functioning AND adaptive functioning across conceptual, social, and practical domains.","American Psychiatric Association, DSM-5 Fact Sheet: Intellectual Disability, 2013",APA_fact_sheet,2025-05-01
DSM5-010,Hypochondriasis,DSM-IV-TR,Somatic Symptom Disorder / Illness Anxiety Disorder,DSM-5,split,2013,"Hypochondriasis was split into two diagnoses depending on presence of somatic symptoms.","Better differentiates patients with predominant physical symptoms vs predominant health anxiety without significant symptoms.",0.75,"hypochondriasis;hypochondria","Somatic Symptom Disorder involves distressing physical symptoms with excessive thoughts/behaviors; Illness Anxiety Disorder involves high health anxiety with minimal/no somatic symptoms.","American Psychiatric Association, DSM-5 Fact Sheet: Somatic Symptom Disorders, 2013",APA_fact_sheet,2025-05-01
